tail;head;relation
Nurse Practitioners;midwife;broadMatch
Nurse Practitioners;nurse responsible for general care;broadMatch
Nurse Practitioners;specialist nurse;broadMatch
Nurse Practitioners;advanced nurse practitioner;broadMatch
Audiologists;audiologist;exactMatch
Anesthesiologists;anaesthetic technician;broadMatch
Anesthesiologists;specialised doctor;narrowMatch
Cardiologists;specialised doctor;narrowMatch
Dermatologists;specialised doctor;narrowMatch
Emergency Medicine Physicians;specialised doctor;narrowMatch
Family Medicine Physicians;general practitioner;exactMatch
General Internal Medicine Physicians;general practitioner;narrowMatch
Neurologists;specialised doctor;narrowMatch
Obstetricians and Gynecologists;specialised doctor;narrowMatch
Pediatricians, General;specialised doctor;narrowMatch
Physicians, Pathologists;specialised doctor;narrowMatch
Psychiatrists;specialised doctor;narrowMatch
Radiologists;specialised doctor;narrowMatch
Radiologists;diagnostic radiographer;broadMatch
Radiologists;radiographer;exactMatch
Radiologists;nuclear medicine radiographer;broadMatch
Allergists and Immunologists;specialised doctor;narrowMatch
Allergists and Immunologists;immunologist;broadMatch
Urologists;specialised doctor;narrowMatch
Physical Medicine and Rehabilitation Physicians;specialised doctor;narrowMatch
Preventive Medicine Physicians;specialised doctor;narrowMatch
Sports Medicine Physicians;specialised doctor;narrowMatch
Ophthalmologists, Except Pediatric;specialised doctor;narrowMatch
Orthopedic Surgeons, Except Pediatric;specialised doctor;narrowMatch
Pediatric Surgeons;specialised doctor;narrowMatch
Acupuncturists;traditional chinese medicine therapist;narrowMatch
Acupuncturists;complementary therapist;narrowMatch
Acupuncturists;acupuncturist;exactMatch
Dental Hygienists;dental hygienist;exactMatch
Naturopathic Physicians;homeopath;broadMatch
Naturopathic Physicians;traditional chinese medicine therapist;broadMatch
Naturopathic Physicians;acupuncturist;broadMatch
Naturopathic Physicians;shiatsu practitioner;broadMatch
Naturopathic Physicians;complementary therapist;broadMatch
Naturopathic Physicians;aromatherapist;broadMatch
Orthoptists;orthoptist;exactMatch
Medical and Clinical Laboratory Technologists;bacteriology technician;broadMatch
Medical and Clinical Laboratory Technologists;cytology screener;broadMatch
Medical and Clinical Laboratory Technologists;biomedical scientist;exactMatch
Cytogenetic Technologists;cytology screener;narrowMatch
Cytotechnologists;cytology screener;exactMatch
Cytotechnologists;biomedical scientist;narrowMatch
Histotechnologists;biomedical scientist;narrowMatch
Histology Technicians;biology technician;narrowMatch
Nuclear Medicine Technologists;nuclear medicine radiographer;exactMatch
Radiologic Technologists and Technicians;diagnostic radiographer;broadMatch
Radiologic Technologists and Technicians;radiographer;broadMatch
Radiologic Technologists and Technicians;radiation therapist ;broadMatch
Radiologic Technologists and Technicians;nuclear medicine radiographer;broadMatch
Magnetic Resonance Imaging Technologists;diagnostic radiographer;narrowMatch
Paramedics;paramedic in emergency responses;exactMatch
Dietetic Technicians;dietetic technician;exactMatch
Dietetic Technicians;prepared meals nutritionist;broadMatch
Dietetic Technicians;diet cook;broadMatch
Pharmacy Technicians;pharmacy technician;exactMatch
Psychiatric Technicians;mental health support worker;exactMatch
Surgical Technologists;doctors' surgery assistant;exactMatch
Veterinary Technologists and Technicians;veterinary technician;exactMatch
Licensed Practical and Licensed Vocational Nurses;home care aide;broadMatch
Licensed Practical and Licensed Vocational Nurses;nurse assistant;broadMatch
Licensed Practical and Licensed Vocational Nurses;healthcare assistant;broadMatch
Licensed Practical and Licensed Vocational Nurses;palliative care social worker;broadMatch
Medical Records Specialists;clinical coder;broadMatch
Medical Records Specialists;medical transcriptionist;broadMatch
Medical Records Specialists;medical records clerk;broadMatch
Opticians, Dispensing;optician;exactMatch
Orthotists and Prosthetists;prosthetist-orthotist;exactMatch
Hearing Aid Specialists;audiology technician;exactMatch
Neurodiagnostic Technologists;diagnostic radiographer;narrowMatch
Midwives;midwife;exactMatch
Home Health Aides;home care aide;exactMatch
Home Health Aides;disability support worker;broadMatch
Home Health Aides;adult community care worker;broadMatch
Personal Care Aides;companion;broadMatch
Personal Care Aides;home care aide;broadMatch
Personal Care Aides;care at home worker;broadMatch
Personal Care Aides;disability support worker;broadMatch
Nursing Assistants;nurse assistant;exactMatch
Orderlies;hospital porter;exactMatch
Psychiatric Aides;healthcare assistant;narrowMatch
Psychiatric Aides;nurse assistant;narrowMatch
Occupational Therapy Assistants;occupational therapy assistant;exactMatch
Occupational Therapy Assistants;rehabilitation support worker;broadMatch
Occupational Therapy Aides;occupational therapy assistant;narrowMatch
Physical Therapist Assistants;chiropractic assistant;broadMatch
Physical Therapist Assistants;physiotherapy assistant;broadMatch
Physical Therapist Assistants;sport therapist;broadMatch
Physical Therapist Assistants;podiatry assistant;broadMatch
Physical Therapist Assistants;occupational therapy assistant;broadMatch
Physical Therapist Assistants;massage therapist;broadMatch
Physical Therapist Assistants;acupuncturist;broadMatch
Massage Therapists;complementary therapist;narrowMatch
Massage Therapists;massage therapist;broadMatch
Massage Therapists;masseur/masseuse;broadMatch
Massage Therapists;shiatsu practitioner;broadMatch
Dental Assistants;dental chairside assistant;exactMatch
Medical Assistants;chiropractic assistant;broadMatch
Medical Equipment Preparers;sterile services technician;exactMatch
Medical Equipment Preparers;respiratory therapy technician;broadMatch
Medical Equipment Preparers;medical laboratory assistant;broadMatch
Medical Transcriptionists;clinical coder;broadMatch
Medical Transcriptionists;medical records clerk;broadMatch
Medical Transcriptionists;medical transcriptionist;exactMatch
Pharmacy Aides;pharmacy assistant;exactMatch
Veterinary Assistants and Laboratory Animal Caretakers;veterinary nurse;exactMatch
Phlebotomists;phlebotomist;exactMatch
First-Line Supervisors of Correctional Officers;correctional services manager;exactMatch
First-Line Supervisors of Police and Detectives;police commissioner;exactMatch
First-Line Supervisors of Security Workers;security guard supervisor;exactMatch
First-Line Supervisors of Protective Service Workers, All Other;mine rescue officer;broadMatch
Firefighters;firefighter;exactMatch
Firefighters;industrial firefighter;broadMatch
Firefighters;marine firefighter;broadMatch
Fire Inspectors and Investigators;fire inspector;exactMatch
Forest Fire Inspectors and Prevention Specialists;forestry inspector;exactMatch
Forest Fire Inspectors and Prevention Specialists;fire inspector;broadMatch
Forest Fire Inspectors and Prevention Specialists;forest ranger;broadMatch
Bailiffs;court bailiff;exactMatch
Correctional Officers and Jailers;juvenile correctional officer;broadMatch
Correctional Officers and Jailers;probation officer;broadMatch
Correctional Officers and Jailers;court bailiff;broadMatch
Correctional Officers and Jailers;prison officer;exactMatch
Detectives and Criminal Investigators;criminal investigator;broadMatch
Detectives and Criminal Investigators;police detective;broadMatch
Intelligence Analysts;intelligence officer;exactMatch
Fish and Game Wardens;game keeper;narrowMatch
Parking Enforcement Workers;civil enforcement officer;narrowMatch
Police and Sheriff's Patrol Officers;police officer;broadMatch
Police and Sheriff's Patrol Officers;civil enforcement officer;broadMatch
Police and Sheriff's Patrol Officers;police detective;broadMatch
Police and Sheriff's Patrol Officers;police inspector;broadMatch
Police and Sheriff's Patrol Officers;street warden;broadMatch
Police and Sheriff's Patrol Officers;court bailiff;broadMatch
Police and Sheriff's Patrol Officers;criminal investigator;broadMatch
Customs and Border Protection Officers;import export specialist;narrowMatch
Customs and Border Protection Officers;immigration officer;exactMatch
Customs and Border Protection Officers;customs officer;exactMatch
Transit and Railroad Police;police officer;narrowMatch
Transit and Railroad Police;civil enforcement officer;narrowMatch
Animal Control Workers;animal welfare inspector;exactMatch
Private Detectives and Investigators;private detective;exactMatch
Private Detectives and Investigators;police detective;broadMatch
Private Detectives and Investigators;store detective;broadMatch
Gambling Surveillance Officers and Gambling Investigators;gaming inspector;exactMatch
Security Guards;security guard;exactMatch
Crossing Guards and Flaggers;crossing guard;broadMatch
Crossing Guards and Flaggers;rail traffic controller;broadMatch
Crossing Guards and Flaggers;rail switchperson;broadMatch
Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers;life guard;broadMatch
Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers;swimming facility attendant;broadMatch
Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers;coastguard watch officer;broadMatch
Transportation Security Screeners;hand luggage inspector;broadMatch
School Bus Monitors;school bus attendant;exactMatch
Chefs and Head Cooks;chef;broadMatch
Chefs and Head Cooks;head chef;exactMatch
Chefs and Head Cooks;grill cook;broadMatch
Chefs and Head Cooks;industrial cook;broadMatch
Chefs and Head Cooks;diet cook;broadMatch
Chefs and Head Cooks;fish cook;broadMatch
Chefs and Head Cooks;cook;broadMatch
First-Line Supervisors of Food Preparation and Serving Workers;head sommelier;broadMatch
Cooks, Fast Food;cook;narrowMatch
